Index,Average CPU Usage,Average Memory Usage
0,0.012167127427028418,2.7183948863636362
1,0.019437022176163023,2.6977982954545454
2,0.010902476721473138,3.7213541666666665
3,0.006715596745065737,4.58984375
4,0.018034412845315324,5.308314732142857
5,0.018034412845315324,5.308314732142857
6,0.0028569266071216425,5.944270833333333
7,0.016919727730581646,5.945833333333334
8,0.016919727730581646,5.945833333333334
9,0.0026478496093845353,5.938802083333333
10,0.003346243058130055,6.995634191176471
11,0.0018947171256280498,7.444227430555555
12,0.0100071925137227,7.446397569444445
